Model;Run;File;Class;MethodName;Signature;Has_UC_Annotation;UC_Action;UC_References
ChatGPT-4o;10;ChatGPT-4o_run10.json;Product;createListing;+ createListing () : ValidationResult;VRAI;;5.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;Product;updateListingDetails;+ updateListingDetails (name : String, description : String, category : ProductCategory, inventory : Integer) : ValidationResult;VRAI;;13.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;RoleManager;assignRole;+ assignRole (user : UserProfile, role : UserRole) : ValidationResult;VRAI;;20.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;SearchFilter;applyFilters;+ applyFilters (products : Product[]) : Product[];VRAI;;14.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;ServiceProvider;acceptCollectionRequest;+ acceptCollectionRequest (requestId : UUID);VRAI;;8.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;ServiceProvider;acceptTransportRequest;+ acceptTransportRequest (requestId : UUID);VRAI;;9.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;ServiceProvider;completeRequest;+ completeRequest (requestId : UUID);FAUX;;
ChatGPT-4o;10;ChatGPT-4o_run10.json;ServiceProvider;updateServiceProfile;+ updateServiceProfile (vehicleTypes : VehicleType[], availability : OpeningHours[]) : ValidationResult;VRAI;;18.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;ServiceRequest;cancelRequest;+ cancelRequest (user : UserProfile);VRAI;;12.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;ServiceRequest;markCompleted;+ markCompleted ();FAUX;;
ChatGPT-4o;10;ChatGPT-4o_run10.json;ServiceRequest;scheduleRequest;+ scheduleRequest (time : TimeRange, provider : ServiceProvider);FAUX;;
ChatGPT-4o;10;ChatGPT-4o_run10.json;UserAccount;activateAccount;+ activateAccount ();VRAI;;1.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;UserAccount;createAccount;+ createAccount () : ValidationResult;VRAI;;1.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;UserAccount;deactivateAccount;+ deactivateAccount (reason : String);VRAI;;15.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;UserAccount;lockAccount;+ lockAccount ();VRAI;;2.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;UserAccount;unlockAccount;+ unlockAccount ();VRAI;;2.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;UserCredentials;clearFailedLoginAttempts;+ clearFailedLoginAttempts ();VRAI;;2.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;UserCredentials;generateResetToken;+ generateResetToken ();VRAI;;3.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;UserCredentials;incrementFailedLogin;+ incrementFailedLogin ();VRAI;;2.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;UserCredentials;resetPassword;+ resetPassword (token : String, newPassword : String) : ValidationResult;VRAI;;3.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;UserCredentials;setPassword;+ setPassword (newPassword : String) : ValidationResult;VRAI;;3.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;UserCredentials;validateLogin;+ validateLogin (password : String) : Boolean;VRAI;;2.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;UserProfile;updateProfileDetails;+ updateProfileDetails (name : String, phone : String, address : Address) : ValidationResult;VRAI;;4.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;UserProfile;verifyEmail;+ verifyEmail ();VRAI;;1.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;WasteJourney;trackProgress;+ trackProgress (stage : Stage, location : Address);VRAI;;10.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;CollectionPoint;updateDetails;+ updateDetails (name : String, type : PointType, coordinates : Coordinates, hours : OpeningHours[]) : ValidationResult;VRAI;;19.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;CollectionRequest;acceptRequest;+ acceptRequest (provider : ServiceProvider, slot : TimeRange);VRAI;;8.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;CollectionRequest;markAsCollected;+ markAsCollected ();VRAI;;8.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;CollectionRequest;schedule;+ schedule (vehicle : VehicleType, time : TimeRange, location : Address);VRAI;;6.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;Product;publishListing;+ publishListing () : ValidationResult;VRAI;;5.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;Product;updateListing;+ updateListing (name : String, desc : String, category : ProductCategory, inventory : Integer) : ValidationResult;VRAI;;13.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;RoleManager;assignRole;+ assignRole (user : UserProfile, role : UserRole) : ValidationResult;VRAI;;20.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;SearchFilter;apply;+ apply () : Product[];VRAI;;14.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;ServiceRequest;cancelRequest;+ cancelRequest (by : UserProfile, date : Date);VRAI;;12.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;TransportRequest;acceptRequest;+ acceptRequest (provider : ServiceProvider, slot : TimeRange);VRAI;;9.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;TransportRequest;markAsCompleted;+ markAsCompleted ();VRAI;;9.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;TransportRequest;scheduleTransport;+ scheduleTransport (route : RoutePlan, slot : TimeRange);VRAI;;6.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;UserAccount;deactivate;+ deactivate (reason : String);VRAI;;15.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;UserAccount;isEligibleToLogin;+ isEligibleToLogin () : Boolean;VRAI;;2.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;UserAccount;lockAccount;+ lockAccount ();VRAI;;2.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;UserAccount;logout;+ logout ();VRAI;;16.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;UserAccount;recordLogin;+ recordLogin (date : Date);VRAI;;2.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;UserAccount;registerAccount;+ registerAccount (email : String, password : String, profile : UserProfile) : ValidationResult;VRAI;;1.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;UserAccount;unlockAccount;+ unlockAccount ();VRAI;;2.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;UserAccount;verifyEmail;+ verifyEmail ();VRAI;;1.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;UserCredentials;generateResetToken;+ generateResetToken (expiration : Date) : String;VRAI;;3.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;UserCredentials;incrementFailedAttempts;+ incrementFailedAttempts ();VRAI;;2.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;UserCredentials;isResetTokenValid;+ isResetTokenValid (token : String) : Boolean;VRAI;;3.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;UserCredentials;resetFailedAttempts;+ resetFailedAttempts ();VRAI;;2.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;UserCredentials;resetPassword;+ resetPassword (newPassword : String) : ValidationResult;VRAI;;3.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;UserCredentials;validatePassword;+ validatePassword (inputPassword : String) : Boolean;VRAI;;2.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;UserProfile;markEmailVerified;+ markEmailVerified (date : Date);VRAI;;1.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;UserProfile;updateProfile;+ updateProfile (name : String, phone : String, address : Address) : ValidationResult;VRAI;;4.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;WasteJourney;updateLocation;+ updateLocation (address : Address);VRAI;;10.0
ChatGPT-4o;2;ChatGPT-4o_run2.json;WasteJourney;updateStage;+ updateStage (stage : Stage);VRAI;;10.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;CollectionPoint;createPoint;+ createPoint (name : String, type : PointType);VRAI;create a new collection point;19.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;CollectionPoint;updatePoint;+ updatePoint (details : String);VRAI;update collection/recycling point info;19.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;CollectionRequest;acceptRequest;+ acceptRequest (provider : ServiceProvider, time : TimeRange);VRAI;accept collection request and schedule;8.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;CollectionRequest;markCollected;+ markCollected ();VRAI;update request status to Collected;8.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;NotificationService;notifyProvider;+ notifyProvider (provider : ServiceProvider, type : NotificationType);VRAI;alert provider of new request;8.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;NotificationService;sendDeactivationEmail;+ sendDeactivationEmail (user : UserProfile);VRAI;notify user of account deactivation;15.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;NotificationService;sendNotification;+ sendNotification (user : UserProfile, type : NotificationType);VRAI;send registration/verification email;1.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;NotificationService;sendResetPassword;+ sendResetPassword (user : UserProfile);VRAI;send password reset email;3.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;Product;createListing;+ createListing (user : UserProfile);VRAI;create product listing;5.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;Product;updateListing;+ updateListing (details : String);VRAI;update existing product listing;13.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;RoleManager;assignRole;+ assignRole (user : UserProfile, role : UserRole);VRAI;assign user role;20.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;SearchFilter;search;+ search () : Product[];VRAI;filter and search product listings;14.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;ServiceProvider;updateProviderProfile;+ updateProviderProfile (profile : UserProfile);VRAI;update service provider profile;18.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;ServiceRequest;cancelRequest;+ cancelRequest (user : UserProfile, date : Date);VRAI;cancel a service request;12.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;ServiceRequest;submitRequest;+ submitRequest (requester : UserProfile);VRAI;submit transport/collection request;6.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;ServiceRequest;viewStatus;+ viewStatus () : RequestStatus;VRAI;retrieve current status of service request;11.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;TransportRequest;acceptRequest;+ acceptRequest (provider : ServiceProvider, time : TimeRange, route : RoutePlan);VRAI;accept transport request and schedule;9.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;TransportRequest;markCompleted;+ markCompleted ();VRAI;mark transport request as completed;9.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;UserAccount;activateAccount;+ activateAccount ();VRAI;mark email as verified and activate account;1.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;UserAccount;createAccount;+ createAccount (email : String, password : String);VRAI;create user account with unverified email;1.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;UserAccount;deactivate;+ deactivate (reason : String);VRAI;deactivate user account;15.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;UserAccount;lockAccount;+ lockAccount (reason : String);VRAI;lock account after failed login attempts;2.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;UserAccount;recordLogin;+ recordLogin (date : Date);VRAI;record login timestamp;2.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;UserCredentials;generateResetToken;+ generateResetToken () : String;VRAI;generate password reset token;3.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;UserCredentials;incrementFailedAttempts;+ incrementFailedAttempts ();VRAI;increment failed login attempts;2.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;UserCredentials;resetFailedAttempts;+ resetFailedAttempts ();VRAI;reset failed login counter on success;2.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;UserCredentials;updatePassword;+ updatePassword (newPassword : String);VRAI;update password;3.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;UserCredentials;validateCredentials;+ validateCredentials (email : String, password : String) : boolean;VRAI;validate email and password;2.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;UserProfile;updateProfile;+ updateProfile (name : String, phone : String, address : Address);VRAI;update user profile information;4.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;UserProfile;verifyEmail;+ verifyEmail (date : Date);VRAI;confirm email verification;1.0
ChatGPT-4o;3;ChatGPT-4o_run3.json;WasteJourney;trackJourney;+ trackJourney (code : String) : WasteJourney;VRAI;retrieve journey status by tracking code;10.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;CollectionPoint;updateLocation;+ updateLocation (name : String, type : PointType, position : Coordinates, operatingHours : OpeningHours[]) : ValidationResult;VRAI;;19.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;CollectionRequest;acceptRequest;+ acceptRequest (provider : ServiceProvider, scheduledTime : TimeRange);VRAI;;8.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;CollectionRequest;markCollected;+ markCollected ();VRAI;;8.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;CollectionRequest;submitCollectionRequest;+ submitCollectionRequest (requester : UserProfile, scheduledTime : TimeRange, location : Address, vehicleType : VehicleType, quantity : Integer, categories : ProductCategory[]) : ValidationResult;VRAI;;6.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;Product;createListing;+ createListing (name : String, description : String, category : ProductCategory, inventory : Integer) : ValidationResult;VRAI;;5.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;Product;publishListing;+ publishListing ();VRAI;;5.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;Product;updateListing;+ updateListing (name : String, description : String, category : ProductCategory, inventory : Integer) : ValidationResult;VRAI;;13.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;RoleManager;updateUserRole;+ updateUserRole (userId : UUID, newRole : UserRole) : ValidationResult;VRAI;;20.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;SearchFilter;filterProducts;+ filterProducts () : List<Product>;VRAI;;14.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;ServiceProvider;updateProviderProfile;+ updateProviderProfile (companyName : String, profile : UserProfile) : ValidationResult;VRAI;;18.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;ServiceRequest;cancelRequest;+ cancelRequest (by : UserProfile);VRAI;;12.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;TransportRequest;acceptRequest;+ acceptRequest (provider : ServiceProvider, scheduledTime : TimeRange);VRAI;;9.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;TransportRequest;markCompleted;+ markCompleted ();VRAI;;9.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;TransportRequest;submitTransportRequest;+ submitTransportRequest (requester : UserProfile, scheduledTime : TimeRange, routePlan : RoutePlan, quantity : Integer, categories : ProductCategory[]) : ValidationResult;VRAI;;6.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;UserAccount;activateAccount;+ activateAccount ();VRAI;;1.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;UserAccount;deactivateAccount;+ deactivateAccount (reason : String);VRAI;;15.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;UserAccount;lockAccount;+ lockAccount ();VRAI;;2.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;UserAccount;recordLoginTimestamp;+ recordLoginTimestamp ();VRAI;;2.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;UserAccount;registerAccount;+ registerAccount (email : String, password : String) : ValidationResult;VRAI;;1.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;UserCredentials;generateResetToken;+ generateResetToken () : String;VRAI;;3.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;UserCredentials;resetPassword;+ resetPassword (newPassword : String) : ValidationResult;VRAI;;3.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;UserCredentials;validateCredentials;+ validateCredentials (email : String, password : String) : ValidationResult;VRAI;;2.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;UserCredentials;validateResetToken;+ validateResetToken (token : String) : Boolean;VRAI;;3.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;UserProfile;updateProfileInfo;+ updateProfileInfo (name : String, phoneNumber : String, address : Address) : ValidationResult;VRAI;;4.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;UserProfile;verifyEmail;+ verifyEmail ();VRAI;;1.0
ChatGPT-4o;4;ChatGPT-4o_run4.json;WasteJourney;trackByCode;+ trackByCode (code : String) : WasteJourney;VRAI;;10.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;CollectionPoint;createLocation;+ createLocation (name : String, facilityType : String, address : String, operatingHours : String);VRAI;create new collection/recycling location;19.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;CollectionPoint;deactivateLocation;+ deactivateLocation ();VRAI;deactivate collection/recycling location;19.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;CollectionPoint;updateLocation;+ updateLocation (name : String, facilityType : String, address : String, operatingHours : String);VRAI;update existing location details;19.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;PlatformManager;assignUserRole;+ assignUserRole (user : User, role : UserRole);VRAI;assign or update user roles;20.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;PlatformManager;manageCollectionPoints;+ manageCollectionPoints ();VRAI;add, update, or deactivate collection/recycling locations;19.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;PlatformManager;manageServiceProviders;+ manageServiceProviders ();VRAI;oversee and manage service provider profiles;18.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;PlatformManager;manageServices;+ manageServices ();VRAI;oversee and manage platform services;17.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;Product;listProduct;+ listProduct (name : String, category : String, inventory : int, description : String);VRAI;create new product listing;5.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;Product;updateProduct;+ updateProduct (name : String, category : String, inventory : int, description : String);VRAI;update existing product listing;13.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;ServiceProvider;acceptRequest;+ acceptRequest (request : ServiceRequest, scheduledDate : DateTime);VRAI;accept and schedule service request;8.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;ServiceProvider;completeRequest;+ completeRequest (request : ServiceRequest);VRAI;mark service request as completed;8.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;ServiceProvider;updateProfile;+ updateProfile (companyName : String, serviceAreas : List<String>, vehicleTypes : List<String>, availabilitySchedule : Schedule);VRAI;update service provider profile;18.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;ServiceRequest;cancelRequest;+ cancelRequest ();VRAI;cancel pending service request;12.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;ServiceRequest;createRequest;+ createRequest (serviceType : ServiceType, details : String);VRAI;create new service request;6.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;ServiceRequest;viewStatus;+ viewStatus () : RequestStatus;VRAI;view current status of service request;11.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;User;deactivateAccount;+ deactivateAccount (reason : String);VRAI;deactivate user account;15.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;User;login;+ login (email : String, password : String);VRAI;authenticate user and record login timestamp;2.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;User;logout;+ logout ();VRAI;terminate user session;16.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;User;register;+ register (name : String, email : String, password : String, address : String, phoneNumber : String);VRAI;create unverified user account;1.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;User;requestPasswordReset;+ requestPasswordReset ();VRAI;initiate password reset process;3.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;User;resetPassword;+ resetPassword (token : String, newPassword : String);VRAI;reset password using token;3.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;User;updateProfile;+ updateProfile (name : String, address : String, phoneNumber : String);VRAI;update user profile information;4.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;User;verifyEmail;+ verifyEmail (token : String);VRAI;verify email and activate account;1.0
ChatGPT-4o;5;ChatGPT-4o_run5.json;WasteTracking;trackWaste;+ trackWaste (trackingCode : String) : String;VRAI;retrieve current status and location of waste;10.0
ChatGPT-4o;6;ChatGPT-4o_run6.json;CollectionPoint;updateDetails;+ updateDetails (name : String, type : PointType, hours : OpeningHours[]) : ValidationResult;VRAI;;19.0
ChatGPT-4o;6;ChatGPT-4o_run6.json;CollectionRequest;createCollectionRequest;+ createCollectionRequest (location : Address, vehicleType : VehicleType, categories : ProductCategory[], quantity : Integer, requester : UserProfile) : ValidationResult;VRAI;;6.0
ChatGPT-4o;6;ChatGPT-4o_run6.json;NotificationService;notifyRequestAccepted;+ notifyRequestAccepted (user : UserProfile);FAUX;;
ChatGPT-4o;6;ChatGPT-4o_run6.json;NotificationService;sendAccountDeactivationNotice;+ sendAccountDeactivationNotice (user : UserProfile);VRAI;;15.0
ChatGPT-4o;6;ChatGPT-4o_run6.json;NotificationService;sendPasswordResetEmail;+ sendPasswordResetEmail (user : UserProfile);VRAI;;3.0
ChatGPT-4o;6;ChatGPT-4o_run6.json;NotificationService;sendRegistrationConfirmation;+ sendRegistrationConfirmation (user : UserProfile);VRAI;;1.0
ChatGPT-4o;6;ChatGPT-4o_run6.json;Product;createListing;+ createListing (name : String, category : ProductCategory, description : String, inventory : Integer) : ValidationResult;VRAI;;5.0
ChatGPT-4o;6;ChatGPT-4o_run6.json;Product;updateListing;+ updateListing (name : String, description : String, inventory : Integer) : ValidationResult;VRAI;;13.0
ChatGPT-4o;6;ChatGPT-4o_run6.json;RoleManager;assignRole;+ assignRole (profile : UserProfile, role : UserRole) : ValidationResult;VRAI;;20.0
ChatGPT-4o;6;ChatGPT-4o_run6.json;SearchFilter;applyFilters;+ applyFilters () : Product[];VRAI;;14.0
ChatGPT-4o;6;ChatGPT-4o_run6.json;ServiceRequest;assignProvider;+ assignProvider (provider : ServiceProvider);FAUX;;
ChatGPT-4o;6;ChatGPT-4o_run6.json;ServiceRequest;cancelRequest;+ cancelRequest (by : UserProfile);VRAI;;12.0
ChatGPT-4o;6;ChatGPT-4o_run6.json;ServiceRequest;updateStatus;+ updateStatus (newStatus : RequestStatus);FAUX;;
ChatGPT-4o;6;ChatGPT-4o_run6.json;TransportRequest;createTransportRequest;+ createTransportRequest (route : RoutePlan, categories : ProductCategory[], quantity : Integer, requester : UserProfile) : ValidationResult;VRAI;;6.0
ChatGPT-4o;6;ChatGPT-4o_run6.json;TransportRequest;scheduleTransport;+ scheduleTransport (dateTime : TimeRange, plan : RoutePlan);VRAI;;9.0
